lineNumber,pageHint,codeCandidate,ocrLiteral,reviewStatus
1,,2001,"Mr Sexta-feira, 16 de Novembro de 2001 ISérie — N.º 52",REVISAR_OCR
12,,200,"Preço deste número — Kz: 200,00",REVISAR_OCR
14,,506,"relativa a anuncio e sesnaruras do «Diário da Ano | da República 1"" 6 2º sénes é do Kz 27,506 parma",REVISAR_OCR
17,,38000,"Nacional — U EE, em Luanda, Caixa Pastal | À qt cene Kz 17 38000] 3º sêne de depóuto prévio à efecuar na Tesourana",REVISAR_OCR
18,,1306,"1306 — End Telcg «Imprensa» AI"" céne Kz 10 700,00] da Imprensa Nacional — U E E",REVISAR_COLUNAS
18,,700,"1306 — End Telcg «Imprensa» AI"" céne Kz 10 700,00] da Imprensa Nacional — U E E",REVISAR_COLUNAS
19,,437,SUMÁRIO Despacho conjunto à * 437/01,REVISAR_OCR
30,,328,Despacha conjunto nº 328/01 —,REVISAR_OCR
32,,2931,"nº 2931, à favor de Mafalda Antunes que tambem usa Mafalda Decreto n.º 82/01",REVISAR_OCR
34,,329,Despacho conjunto n * 329/01 Face à crescente globalização da economia mundial e,REVISAR_OCR
39,,331,Despacha conjunto o * 331/01 Nos termos das dispasições combinadas da alínea f) do,REVISAR_OCR
40,,112,"Comfivca o predio urbano em nome de Teodoro dos Santos arugo 112º e do arngo 113º ambos da Les Consntucional,",REVISAR_COLUNAS
40,,113,"Comfivca o predio urbano em nome de Teodoro dos Santos arugo 112º e do arngo 113º ambos da Les Consntucional,",REVISAR_COLUNAS
41,,33201,Despacho eomuato nº 33201 9 Governo decreta o segunic,REVISAR_OCR
44,,333,Despacho conjunto nº 333/01 integrante,REVISAR_OCR
49,,334,"Despacho conjunto nº 334/01 Públicas, que",REVISAR_OCR
56,,18770,"a favor de Ela Rose Edna ado Vora Cr 18770, Art 3º — O Plano Geral de Contabilidade não é",REVISAR_OCR
58,,336,Despacho conjunto n* 336/01 aplicável a entidade: que exerçam actividade para a qual,REVISAR_OCR
63,,978,978 DIÁRIO DA REPÚBLICA,REVISAR_OCR
71,,2002,"exercício económico com início em 1 de Janeiro de 2002 A International Federation of Accountants (IFAC), que",REVISAR_OCR
101,,2000,"Luanda, aos 10 de Agosto de 2000 preparação e apresentação das Demonstrações financeiras",REVISAR_OCR
129,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 979,REVISAR_COLUNAS
129,,979,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 979,REVISAR_COLUNAS
188,,980,980 DIÁRIO DA REPÚBLICA,REVISAR_OCR
246,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 981,REVISAR_COLUNAS
246,,981,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 981,REVISAR_COLUNAS
317,,982,982 DIÁRIO DA REPÚBLICA,REVISAR_OCR
319,,108,108 UTENTES E ASNECESSIDADES DE Utente Utilidade da Informação,REVISAR_OCR
372,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 983,REVISAR_COLUNAS
372,,983,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 983,REVISAR_COLUNAS
422,,984,984 DIÁRIO DA REPÚBLICA,REVISAR_OCR
474,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 985,REVISAR_COLUNAS
474,,985,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 985,REVISAR_COLUNAS
538,,986,986 DIÁRIO DA REPÚBLICA,REVISAR_OCR
602,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 987,REVISAR_COLUNAS
602,,987,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 987,REVISAR_COLUNAS
661,,4347,un das divs. id cer Caixa é seus equivalentes no início do periodo | 4347,REVISAR_OCR
663,,988,988 DIÁRIO DA REPÚBLICA,REVISAR_OCR
715,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 989,REVISAR_COLUNAS
715,,989,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 989,REVISAR_COLUNAS
727,,221,221 Criténos de reconhecimento é bases de valonme-,REVISAR_OCR
770,,990,990 DIÁRIO DA REPÚBLICA,REVISAR_OCR
824,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 991,REVISAR_COLUNAS
824,,991,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 991,REVISAR_COLUNAS
870,,992,992 DIÁRIO DA REPÚBLICA,REVISAR_OCR
938,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 993,REVISAR_COLUNAS
938,,993,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 993,REVISAR_COLUNAS
995,,994,994 DIÁRIO DA REPÚBLICA,REVISAR_OCR
1049,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 995,REVISAR_COLUNAS
1049,,995,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 995,REVISAR_COLUNAS
1059,,820,"alheia | 820 Maiérias-promas, subsidianas e de consumo",REVISAR_OCR
1111,,2197,"Maténas-primas, mercadorias e (No | 2197] quo",REVISAR_OCR
1112,,1281,materiais em trânsito 1281) tazi),REVISAR_OCR
1113,,996,996 DIÁRIO DA REPÚBLICA,REVISAR_OCR
1114,,103,9. Outros activos não correntes e contas a receber: 103 Restrições existentes,REVISAR_OCR
1165,,102,"102 Movimentos, ocorridos durante o exercício, nas oucual | (o) (b) | nuições te)",REVISAR_OCR
1175,,2001,ISÉRIE — N.º 52 — DE 16 DE NOVEMBRO DE 2001 997,REVISAR_COLUNAS
