"Account Number","Account Name","Type","Detail Type"
"1","Meios fixos e investimentos","Ativos imobilizados","Outros ativos imobilizados"
"11","1 Meios fixos e investimentos: Imobilizações corpóreas","Ativos imobilizados","Outros ativos imobilizados"
"111","11 Imobilizações corpóreas: Terrenos e recursos naturais","Ativos imobilizados","Terreno"
"1111","111 Terrenos e recursos naturais: Terrenos em bruto","Ativos imobilizados","Terreno"
"1112","111 Terrenos e recursos naturais: Terrenos com arranjos","Ativos imobilizados","Terreno"
"1113","111 Terrenos e recursos naturais: Subsolos","Ativos imobilizados","Ativos esgotáveis"
"1114","111 Terrenos e recursos naturais: Terrenos com edifícios","Ativos imobilizados","Terreno"
"11141","1114 Terrenos com edifícios: Relativos a edifícios industriais","Ativos imobilizados","Terreno"
"11142","1114 Terrenos com edifícios: Relativos a edifícios administrativos e comerciais","Ativos imobilizados","Terreno"
"11143","1114 Terrenos com edifícios: Relativos a outros edifícios","Ativos imobilizados","Terreno"
"112","11 Imobilizações corpóreas: Edifícios e outras construções","Ativos imobilizados","Prédios"
"1121","112 Edifícios e outras construções: Edifícios","Ativos imobilizados","Prédios"
"11211","1121 Edifícios: Integrados em conjuntos industriais","Ativos imobilizados","Prédios"
"113","11 Imobilizações corpóreas: Equipamento básico","Ativos imobilizados","Máquinas e equipamentos"
"114","11 Imobilizações corpóreas: Equipamento de carga e transporte","Ativos imobilizados","Veículos"
"115","11 Imobilizações corpóreas: Equipamento administrativo","Ativos imobilizados","Móveis e utensílios"
"116","11 Imobilizações corpóreas: Taras e vasilhame","Ativos imobilizados","Outros ativos imobilizados"
"119","11 Imobilizações corpóreas: Outras imobilizações corpóreas","Ativos imobilizados","Outros ativos imobilizados"
"12","Imobilizações incorpóreas","Ativos não circulantes","Ativos intangíveis"
"121","12 Imobilizações incorpóreas: Trespasses","Ativos não circulantes","Ágio"
"122","12 Imobilizações incorpóreas: Despesas de investigação e desenvolvimento","Ativos não circulantes","Ativos intangíveis"
"123","12 Imobilizações incorpóreas: Propriedade industrial e outros direitos e contratos","Ativos não circulantes","Ativos intangíveis"
