codigo;designacao;pai;nivel;paginas_ocr_candidatas;evidencia_pendente
"11.1";"Terrenos e recursos naturais";"11";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"11.1.1";"Terrenos em bruto";"11.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"11.1.2";"Terrenos com arranjos";"11.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"11.1.3";"Subsolos";"11.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"11.1.4";"Terrenos com edifícios";"11.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"11.1.4.1";"Relativos a edifícios industriais";"11.1.4";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"11.1.4.2";"Relativos a edifícios administrativos e comerciais";"11.1.4";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"11.1.4.3";"Relativos a outros edifícios";"11.1.4";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"11.2";"Edifícios e outras construções";"11";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"11.2.1";"Edifícios";"11.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"11.2.1.1";"Integrados em conjuntos industriais";"11.2.1";"5";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"11.3";"Equipamento básico";"11";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"11.4";"Equipamento de carga e transporte";"11";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"11.5";"Equipamento administrativo";"11";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"11.6";"Taras e vasilhame";"11";"3";"41";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"11.9";"Outras imobilizações corpóreas";"11";"3";"41";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"12.1";"Trespasses";"12";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"12.2";"Despesas de investigação e desenvolvimento";"12";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"12.3";"Propriedade industrial e outros direitos e contratos";"12";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"12.4";"Despesas de constituição";"12";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"12.9";"Outras imobilizações incorpóreas";"12";"3";"41";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.1";"Empresas subsidiárias";"13";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.1.1";"Partes de capital";"13.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.1.2";"Obrigações e títulos de participação";"13.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.1.3";"Empréstimos";"13.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.2";"Empresas associadas";"13";"3";"84";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.2.1";"Partes de capital";"13.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.2.2";"Obrigações e títulos de participação";"13.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.2.3";"Empréstimos";"13.2";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.3";"Outras empresas";"13";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.3.1";"Partes de capital";"13.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.3.2";"Obrigações e títulos de participação";"13.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.3.3";"Empréstimos";"13.3";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.4";"Investimentos em imóveis";"13";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.5";"Fundos";"13";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.9";"Outros investimentos Financeiros";"13";"3";"42";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.9.1";"Diamantes";"13.9";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.9.2";"Ouro";"13.9";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"13.9.3";"Depósitos bancários";"13.9";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"14.1";"Obra em curso";"14";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"14.2";"Obra em curso";"14";"3";"87";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"14.7";"Adiantamentos por conta de imobilizado corpóreo";"14";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"14.8";"Adiantamentos por conta de imobilizado incorpóreo";"14";"3";"42";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"14.9";"Adiantamentos por conta de investimentos financeiros";"14";"3";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.1";"Imobilizações corpóreas";"18";"3";"42";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.1.1";"Terrenos e recursos naturais";"18.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
"18.1.2";"Edifícios e outras construções";"18.1";"4";"";"Quadro oficial; natureza; regra de movimentação; lançabilidade"
